Alice,Blue,Curious
Bob,Green,Energetic
Charlie,Red,Witty
Diana,Yellow,Calm
Ethan,Purple,Ambitious
Fiona,Orange,Creative
George,Pink,Clumsy
Hannah,Teal,Brilliant
Ian,Maroon,Bold
Julia,Cyan,Friendly
Kevin,Magenta,Cynical
Laura,Indigo,Graceful
Michael,Turquoise,Humble
Nina,Lavender,Optimistic
Oscar,Silver,Wise
Paula,Gold,Fierce
Quinn,Charcoal,Quiet
Rachel,Bronze,Vibrant
Sam,Beige,Patient
Tina,Coral,Cheerful
Umar,Violet,Sharp
Valerie,Emerald,Sincere
Walter,Ruby,Generous
Xavier,Amber,Mysterious
Yasmine,Sapphire,Gentle
Zane,Onyx,Fearless
Arthur,Crimson,Proud
Beatrice,Lime,Quirky
Cedric,Peach,Eager
Dorothy,Plum,Thoughtful
